fecha,sistema,equipo
"1999,3",La Dirección de Sistemas a fines de los '90,
"1999,5",La crisis del año 2000,
"1999,7","Mesa de Entradas, Resoluciones y Notificaciones",ssc
"2000,7",Fondos Rotatorios y Liquidación de Gastos,ssc
"2001,3",Gestión de Proyectos y Fiscalización del Seguro por Desempleo,se
"2002,4",Lanzamiento del Programa Jefas y Jefes de Hogar,se
"2003,1",Nuevos sistemas para la Secretaría de Empleo,se
"2003,9",Plan Nacional de Regularización del Trabajo,ssf
"2004,3",Centro de Asesoriamento Laboral,ssc
"2004,6",Gestión de Tarjetas Magnéticas,se
"2004,11",Dictámenes y Recursos,se
"2004,6",Datawarehouse de la Secretaría de Empleo,dw
"2005,7",Biblioteca Digital de Convenios Colectivos de Trabajo,ssc
"2005,8",Postulantes,ssc
"2005,11",Seguimiento gráfico de expedientes del PNRT,ssf
"2006,01",Acciones Judiciales,ssc
"2006,5",Portal de Empleo,se
"2006,1",Liquidación de Comisiones de Servicio y Viáticos,ssc
"2007,02",Resoluciones de Trabajo Agrario,ssc
"2007,12",Gestión de la Negociación Colectiva,ssc
"2008,2",Registro de Empresas Eventuales,se
"2008,4",Programa Jóvenes con más y mejor trabajo,se
"2008,7","Registro Único de Inspecciones, Infracciones y Sanciones",ssf
"2008,9",Gestión de Órdenes de Inspección,ssf
"2009,1",Crédito Fiscal,ssf
"2009,05",Recuperación Productiva,ssf
"2009,06",Sumarios Administrativos,ssc
"2010,02",Concursos para la Administración Pública Nacional,ssc
"2010,04",Certificación de calidad de la Biblioteca Digital de Convenios Colectivos,ssc
"2010,12",Firma Digital en el PNRT,ssf
"2011,01",La presidenta presenta el Inspector Digital,ssf
"2011,02",Carlos Tomada presenta el Inspector Digital,ssf
"2011,07",Notificaciones Web,ssc
"2011,9",Sistema para la gestión de Documentos - CEDET,se
"2011,11",Consulta web de Mesa de Entradas General,ssc
"2012,06",Gestión de la Negociación Colectiva,ssc
"2012,07",Balance a nueve años de PNRT,ssf
"2012,09",Balance del Inspector Digital,ssf
"2013,11",Trabajadores contra la tercerización,todos
